,Dates,XPD Curncy,log_returns
1228,1994-09-15,148.85,0.007417431175577804
1229,1994-09-16,150.25,0.009361485953531506
1230,1994-09-19,152.5,0.01486402263214934
1231,1994-09-20,158.0,0.03543043697950048
1232,1994-09-21,155.75,-0.014342875359404244
1233,1994-09-22,156.75,0.006400021845467505
1234,1994-09-23,156.5,-0.0015961695328222149
1235,1994-09-26,156.0,-0.0032000027306709027
1236,1994-09-27,155.25,-0.004819286435948883
1237,1994-09-28,154.0,-0.008084118399959024
1238,1994-09-29,152.4,-0.010443959161083262
1239,1994-09-30,152.4,0.0
1240,1994-03-10,152.5,0.0006559527949204875
1241,1994-04-10,153.15,0.004253237231318019
1242,1994-05-10,155.0,0.01200728364046235
1243,1994-06-10,154.7,-0.0019373593402263105
1244,1994-07-10,153.7,-0.006485107034470237
1245,1994-10-10,153.0,-0.004564729152114606
1246,1994-11-10,152.25,-0.00491401480242904
1247,1994-12-10,151.6,-0.004278433381735184
1248,1994-10-13,152.25,0.004278433381735058
1249,1994-10-14,153.0,0.004914014802429163
1250,1994-10-17,155.95,0.019097521661376737
1251,1994-10-18,155.5,-0.002889711434523424
1252,1994-10-19,156.4,0.005771096491921868
1253,1994-10-20,157.25,0.005420067469339113
1254,1994-10-21,156.75,-0.003184716067519836
1255,1994-10-24,155.95,-0.005116736459217866
1256,1994-10-25,157.0,0.00671036229449586
1257,1994-10-26,157.5,0.0031796529173798056
1258,1994-10-27,161.45,0.024770038938596424
1259,1994-10-28,160.45,-0.006213129648418313
1260,1994-10-31,159.25,-0.007507073103593046
1261,1994-01-11,160.25,0.0062598013485067345
1262,1994-02-11,162.0,0.010861239431604634
1263,1994-03-11,160.85,-0.007124081547348708
1264,1994-04-11,161.0,0.0009321112994276711
1265,1994-07-11,157.2,-0.02388548498935685
1266,1994-08-11,158.5,0.00823571332222914
1267,1994-09-11,156.25,-0.014297304700824449
1268,1994-10-11,156.5,0.0015987213636970735
1269,1994-11-11,156.15,-0.0022389262511203437
1270,1994-11-14,157.65,0.009560302261982335
1271,1994-11-15,158.25,0.0037986750332157384
1272,1994-11-16,157.5,-0.004750602758597865
1273,1994-11-17,157.75,0.0015860431556347797
1274,1994-11-18,156.0,-0.01115549417178551
1275,1994-11-21,153.75,-0.014528100562909744
1276,1994-11-22,155.0,0.008097210232619303
1277,1994-11-23,155.5,0.003220614700042157
1278,1994-11-24,155.0,-0.003220614700042172
1279,1994-11-25,155.0,0.0
1280,1994-11-28,154.75,-0.0016142053545411135
1281,1994-11-29,155.5,0.004834820054583311
1282,1994-11-30,155.5,0.0
1283,1994-01-12,154.25,-0.008071068833791661
1284,1994-02-12,154.5,0.001619433552302976
1285,1994-05-12,153.75,-0.004866189651172899
1286,1994-06-12,154.0,0.001624695727001983
1287,1994-07-12,154.05,0.00032462262904795006
1288,1994-08-12,153.5,-0.0035766580154251515
1289,1994-09-12,154.15,0.004225587304907478
1290,1994-12-12,155.0,0.00549896258708724
1291,1994-12-13,154.75,-0.0016142053545411135
1292,1994-12-14,153.8,-0.006157854493161837
1293,1994-12-15,154.45,0.004217362293046958
1294,1994-12-16,154.75,0.0019404922001149438
1295,1994-12-19,155.1,0.0022591586177876555
